name,logo,location,city,company,address,contact,area,price,type,img_url,description,url_website,latitude,longitude
amatista alameda del rio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-10/24.%20LOGO%20AMATISTA%20%281%29.jpg,Alameda del Río,Barranquilla,Amarilo,Av. Circunvalar entre Carreras 38 y 46 ,6016340000,51,195000000,VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-10/amatista_-_alameda_del_ri%CC%81o_amatista-amarilo-aprovecha-aptos-en-colombia-nuevos-proyecto-a.jpg,"Descubre Amatista, el proyecto inmobiliario VIS de la Constructora Amarilo en la ciudad Barranquilla.Este conjunto residencial ofrece apartamentos con múltiples comodidades y una ubicación estrategica en la ciudad.Descubre por qué Amatista es la opción ideal para estrenar vivienda y comenzar una nueva vida en la vibrante Barranquilla.",https://amarilo.com.co/proyecto/amatista-alameda-del-rio,10.9923165,-74.8503849
bambu san antonio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/32.%20LOGO%20BAMBU%CC%81.jpg,San Antonio,Soledad,Amarilo,Cll 68B Trasv. 1 Sur – 113 Por – Av. Murillo Frente A Granabastos ,6016340000,43,117000000,VIP,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-07/bambu_-_san_antonio_apartamentos-en-soledad-amarilo-aprovecha-apartamentos-nuevos-a.jpeg,"Descubre Bambú, un proyecto inmobiliario VIP desarrollado por la Constructora Amarilo en San Antonio, Ciudad Residencial, muy cerca de Barranquilla.",https://amarilo.com.co/proyecto/bambu-san-antonio,10.9147635,-74.7702801
brisas del rio rio alto,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/36.%20LOGO%20BRISAS%20DEL%20RI%CC%81O.jpg,Río Alto,Barranquilla,Amarilo,Calle 98 # 65A-54 Apto 103 Sala De Venta - Edificio Brisas Del Río,6016340000,87,550000000,NO VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2024-05/render-brisas-del-rio-porteria.webp,"Brisas del Río, una iniciativa de desarrollo urbano llena de exclusividad en el sector de Río Alto, en Barranquilla.",https://amarilo.com.co/proyecto/brisas-del-rio-rio-alto,11.0207852,-74.8205782
ceiba san antonio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/31.%20LOGO%20CEIBA.jpg,San Antonio,Soledad,Amarilo,Calle 68B Transversal 1 Sur 113 Avenida Murillo Frente A Granabastos ,6016340000,52,148200000,VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/entrada-view-ceiba.png,"Descubre el encanto de vivir en Ceiba, un proyecto inmobiliario de casas en Soledad (Atlántico) desarrollado por la Constructora Amarilo.  Un espacio donde cada detalle ha sido pensado para ofrecerte la mejor calidad de vida en una ubicación inigualable.",https://amarilo.com.co/proyecto/ceiba-san-antonio,10.8848203,-74.8114587
corozo san antonio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-11/LOGO-COROZO.webp,San Antonio,Soledad,Amarilo,Cll 68B Trasv. 1 Sur – 113 Por – Av. Murillo Frente A Granabastos Cómo llegar,6016340000,43,117000000,VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-11/01_Imagen%20Exterior%20Porteria.webp,"Descubre Corozo, el proyecto perfecto para tu nueva vivienda en Soledad (Atlántico). Diseñado y construido por la Constructora Amarilo, este promete mejorar tu calidad de vida.",https://amarilo.com.co/proyecto/corozo-san-antonio,10.9147635,-74.7702801
flamingo alameda del rio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/26.%20LOGO%20FLAMINGO.jpg,Alameda del Río,Barranquilla,Amarilo,Avenida Circunvalar Entre Cra 38 Y 46 Cómo llegar,6016340000,63,311800000,NO VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-07/apartamentos_en_barranquilla_amarilo_flamingo_c.jpeg,"Descubre Flamingo, un excepcional proyecto de vivienda No VIS en Alameda del Río, Barranquilla.Este desarrollo inmobiliario combina diseño, comodidad y una ubicación privilegiada para estrenar vivienda en una de las ciudades más prósperas del país.",https://amarilo.com.co/proyecto/flamingo-alameda-del-rio,10.9961604,-74.8404779
lira alameda del rio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-11/logo-lira-1.webp,Alameda del Río,Barranquilla,Amarilo,Avenida circunvalar entre cra 38 y 46 Cómo llegar,6016340000,67,370000000,NO VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-11/render-lira-piscina.webp,"Descubrir el espacio ideal para ti y tu familia es una de las decisiones más significativas en la vida. En el corazón de Barranquilla surge Lira, un proyecto inmobiliario en Barranquilla que promete transformar tus sueños en una tangible realidad.La Constructora Amarilo, reconocida por su solidez y compromiso con la calidad, es la encargada de dar vida a este magnífico proyecto de vivienda.Al adentrarte en el mundo de Lira, te sumerges en una experiencia residencial única, caracterizada por la fusión perfecta entre comodidad, estilo y funcionalidad.",https://amarilo.com.co/proyecto/lira-alameda-del-rio,10.9961604,-74.8404779
mirador cienaga ciudad mallorquin,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/37.%20LOGO%20MIRADOR%20DE%20LA%20CIENAGA.jpg,Ciudad Mallorquin,Puerto Colombia,Amarilo,"Ediempresarial, Cra 53 #110 Esquina, Local 5 Cómo llegar",6016340000,56,175500000,TOPE VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-07/mirador_de_la_cienaga_-_ciudad_mallorquin_apartamentos-en-barranquilla-amarilo-mirador-aprovecha-nuevos-aptos-a.jpeg,"Descubre Mirador de la Ciénaga, un proyecto inmobiliario Tope VIS de la Constructora Amarilo en Puerto Colombia, muy cerca de Barranquilla.",https://amarilo.com.co/proyecto/mirador-cienaga-ciudad-mallorquin,11.007984,-74.248926
monterivera lago alto,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/35.%20LOGO%20MONTERIVERA.jpg,Lago Alto,Barranquilla,Amarilo,Carrera 65A # 99C Esquina Cómo llegar,6016340000,124,1009600000,NO VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2024-01/fachada.webp,"Monterivera, es la opción exclusiva de la constructora Amarilo en Barranquilla, con calidad de vida y ubicación estratégica en la ciudad.Si quieres estrenar vivienda, en Monterivera podrás disfrutar de la nueva Barranquilla, en una zona exclusiva que ofrece amplias zonas verdes y una vibrante vida cultural a su alrededor.",https://amarilo.com.co/proyecto/monterivera-lago-alto,11.0208017,-74.82375259999999
palmar cienaga ciudad mallorquin,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/38.%20LOGO%20PALMAR%20DE%20LA%20CIENAGA.jpg,Ciudad Mallorquin,Puerto Colombia,Amarilo,"Bc Empresarial, Cra 53 #110 Esquina, Local 5 Cómo llegar",6016340000,55,175500000,TOPE VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-03/palmar-de-la-cienaga-amarilo-aprovecha-aptos-en-barranquilla-amarilo-c.jpeg,"Descubre ""Palmar de la Ciénaga"", el proyecto inmobiliario de ensueño en Puerto Colombia (Atlántico).Un espacio diseñado por la reconocida Constructora Amarilo, perfecto para estrenar vivienda en uno de los destinos más deseados de la región.",https://amarilo.com.co/proyecto/palmar-cienaga-ciudad-mallorquin,11.007984,-74.248926
